act,scene,location,entity_text,label,label_description
1,2,A Camp near Forres.,Fife,GPE,"Countries, cities, states"
1,2,A Camp near Forres.,Norway,GPE,"Countries, cities, states"
1,2,A Camp near Forres.,Thane of Cawdor,TITLE,TITLE
1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional"
1,2,A Camp near Forres.,ROSS,PERSON,"People, including fictional"
1,2,A Camp near Forres.,Norways,GPE,"Countries, cities, states"
1,2,A Camp near Forres.,Saint Colme's Inch,GPE,"Countries, cities, states"
1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional"
1,2,A Camp near Forres.,Thane of Cawdor,TITLE,TITLE
1,2,A Camp near Forres.,Macbeth,PERSON,"People, including fictional"
1,2,A Camp near Forres.,ROSS,PERSON,"People, including fictional"
1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional"
1,2,A Camp near Forres.,Macbeth,PERSON,"People, including fictional"
1,3,A heath.,THIRD,PERSON,"People, including fictional"
1,3,A heath.,Aroint,PERSON,"People, including fictional"
1,3,A heath.,Aleppo,GPE,"Countries, cities, states"
1,3,A heath.,THIRD,PERSON,"People, including fictional"
1,3,A heath.,THIRD,PERSON,"People, including fictional"
1,3,A heath.,Macbeth,PERSON,"People, including fictional"
1,3,A heath.,the sea,LOCATION,LOCATION
1,3,A heath.,Macbeth,PERSON,"People, including fictional"
1,3,A heath.,Banquo,PERSON,"People, including fictional"
1,3,A heath.,MACBETH,PERSON,"People, including fictional"
1,3,A heath.,BANQUO,PERSON,"People, including fictional"
1,3,A heath.,MACBETH,PERSON,"People, including fictional"
1,3,A heath.,Macbeth,PERSON,"People, including fictional"
1,3,A heath.,Thane of Glamis,TITLE,TITLE
1,3,A heath.,Macbeth,PERSON,"People, including fictional"
1,3,A heath.,Thane of Cawdor,TITLE,TITLE
1,3,A heath.,THIRD,PERSON,"People, including fictional"
1,3,A heath.,Macbeth,PERSON,"People, including fictional"
1,3,A heath.,BANQUO,PERSON,"People, including fictional"
1,3,A heath.,THIRD,PERSON,"People, including fictional"
1,3,A heath.,Macbeth,PERSON,"People, including fictional"
1,3,A heath.,THIRD,PERSON,"People, including fictional"
1,3,A heath.,Macbeth,PERSON,"People, including fictional"
1,3,A heath.,Banquo,PERSON,"People, including fictional"
1,3,A heath.,Banquo,PERSON,"People, including fictional"
1,3,A heath.,Macbeth,PERSON,"People, including fictional"
1,3,A heath.,MACBETH,PERSON,"People, including fictional"
1,3,A heath.,Thane of Glamis,TITLE,TITLE
1,3,A heath.,Thane of Cawdor,TITLE,TITLE
1,3,A heath.,BANQUO,PERSON,"People, including fictional"
1,3,A heath.,MACBETH,PERSON,"People, including fictional"
1,3,A heath.,the wind,LOCATION,LOCATION
1,3,A heath.,BANQUO,PERSON,"People, including fictional"
1,3,A heath.,MACBETH,PERSON,"People, including fictional"
1,3,A heath.,BANQUO,PERSON,"People, including fictional"
1,3,A heath.,MACBETH,PERSON,"People, including fictional"
1,3,A heath.,Thane of Cawdor,TITLE,TITLE
1,3,A heath.,BANQUO,PERSON,"People, including fictional"
1,3,A heath.,Ross,PERSON,"People, including fictional"
1,3,A heath.,Angus,PERSON,"People, including fictional"
1,3,A heath.,ROSS,PERSON,"People, including fictional"
1,3,A heath.,Macbeth,PERSON,"People, including fictional"
1,3,A heath.,ANGUS,PERSON,"People, including fictional"
1,3,A heath.,ROSS,PERSON,"People, including fictional"
1,3,A heath.,Thane of Cawdor,TITLE,TITLE
1,3,A heath.,BANQUO,PERSON,"People, including fictional"
1,3,A heath.,MACBETH,PERSON,"People, including fictional"
1,3,A heath.,Thane of Cawdor,TITLE,TITLE
1,3,A heath.,ANGUS,PERSON,"People, including fictional"
1,3,A heath.,Thane lives yet,TITLE,TITLE
1,3,A heath.,Norway,GPE,"Countries, cities, states"
1,3,A heath.,MACBETH,PERSON,"People, including fictional"
1,3,A heath.,Thane of Cawdor,TITLE,TITLE
1,3,A heath.,Ross,PERSON,"People, including fictional"
1,3,A heath.,Angus,PERSON,"People, including fictional"
1,3,A heath.,Banquo,PERSON,"People, including fictional"
1,3,A heath.,Thane of Cawdor,TITLE,TITLE
1,3,A heath.,BANQUO,PERSON,"People, including fictional"
1,3,A heath.,Thane of Cawdor,TITLE,TITLE
1,3,A heath.,Cousins,PERSON,"People, including fictional"
1,3,A heath.,MACBETH,PERSON,"People, including fictional"
1,3,A heath.,Thane of Cawdor,TITLE,TITLE
1,3,A heath.,BANQUO,PERSON,"People, including fictional"
1,3,A heath.,MACBETH,PERSON,"People, including fictional"
1,3,A heath.,BANQUO,PERSON,"People, including fictional"
1,3,A heath.,MACBETH,PERSON,"People, including fictional"
1,3,A heath.,BANQUO,PERSON,"People, including fictional"
1,3,A heath.,Macbeth,PERSON,"People, including fictional"
1,3,A heath.,MACBETH,PERSON,"People, including fictional"
1,3,A heath.,the King,LOCATION,LOCATION
1,3,A heath.,BANQUO,PERSON,"People, including fictional"
1,3,A heath.,MACBETH,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,Duncan,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,Malcolm,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,Donalbain,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,Lennox,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,DUNCAN,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,MALCOLM,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,DUNCAN,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,Macbeth,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,Banquo,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,Ross,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,Angus,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,MACBETH,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,DUNCAN,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,Banquo,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,BANQUO,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,DUNCAN,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,Malcolm,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,Inverness,GPE,"Countries, cities, states"
1,4,Forres. A Room in the Palace.,MACBETH,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,DUNCAN,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,MACBETH,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,DUNCAN,PERSON,"People, including fictional"
1,4,Forres. A Room in the Palace.,Banquo,PERSON,"People, including fictional"
1,5,Inverness. A Room in Macbeth's Castle.,Macbeth,PERSON,"People, including fictional"
1,5,Inverness. A Room in Macbeth's Castle.,LADY MACBETH.,PERSON,"People, including fictional"
1,5,Inverness. A Room in Macbeth's Castle.,Thane of Cawdor,TITLE,TITLE
1,5,Inverness. A Room in Macbeth's Castle.,MESSENGER,PERSON,"People, including fictional"
1,5,Inverness. A Room in Macbeth's Castle.,LADY MACBETH.,PERSON,"People, including fictional"
1,5,Inverness. A Room in Macbeth's Castle.,MESSENGER,PERSON,"People, including fictional"
1,5,Inverness. A Room in Macbeth's Castle.,LADY MACBETH.,PERSON,"People, including fictional"
1,5,Inverness. A Room in Macbeth's Castle.,Duncan,PERSON,"People, including fictional"
1,5,Inverness. A Room in Macbeth's Castle.,Macbeth,PERSON,"People, including fictional"
1,5,Inverness. A Room in Macbeth's Castle.,MACBETH,PERSON,"People, including fictional"
1,5,Inverness. A Room in Macbeth's Castle.,Duncan,PERSON,"People, including fictional"
1,5,Inverness. A Room in Macbeth's Castle.,LADY MACBETH.,PERSON,"People, including fictional"
1,5,Inverness. A Room in Macbeth's Castle.,MACBETH,PERSON,"People, including fictional"
1,5,Inverness. A Room in Macbeth's Castle.,LADY MACBETH.,PERSON,"People, including fictional"
1,5,Inverness. A Room in Macbeth's Castle.,MACBETH,PERSON,"People, including fictional"
1,5,Inverness. A Room in Macbeth's Castle.,LADY MACBETH.,PERSON,"People, including fictional"
1,6,The same. Before the Castle.,Hautboys,PERSON,"People, including fictional"
1,6,The same. Before the Castle.,Macbeth,PERSON,"People, including fictional"
1,6,The same. Before the Castle.,Duncan,PERSON,"People, including fictional"
1,6,The same. Before the Castle.,Malcolm,PERSON,"People, including fictional"
1,6,The same. Before the Castle.,Donalbain,PERSON,"People, including fictional"
1,6,The same. Before the Castle.,Banquo,PERSON,"People, including fictional"
1,6,The same. Before the Castle.,Lennox,PERSON,"People, including fictional"
1,6,The same. Before the Castle.,Macduff,PERSON,"People, including fictional"
1,6,The same. Before the Castle.,Ross,PERSON,"People, including fictional"
1,6,The same. Before the Castle.,Angus,PERSON,"People, including fictional"
1,6,The same. Before the Castle.,DUNCAN,PERSON,"People, including fictional"
1,6,The same. Before the Castle.,This castle,LOCATION,LOCATION
1,6,The same. Before the Castle.,Nimbly,PERSON,"People, including fictional"
1,6,The same. Before the Castle.,BANQUO,PERSON,"People, including fictional"
1,6,The same. Before the Castle.,Lady Macbeth.,PERSON,"People, including fictional"
1,6,The same. Before the Castle.,DUNCAN,PERSON,"People, including fictional"
1,6,The same. Before the Castle.,LADY MACBETH.,PERSON,"People, including fictional"
1,6,The same. Before the Castle.,DUNCAN,PERSON,"People, including fictional"
1,6,The same. Before the Castle.,Thane of Cawdor,TITLE,TITLE
1,6,The same. Before the Castle.,LADY MACBETH.,PERSON,"People, including fictional"
1,6,The same. Before the Castle.,DUNCAN,PERSON,"People, including fictional"
1,7,The same. A Lobby in the Castle.,Hautboys,PERSON,"People, including fictional"
1,7,The same. A Lobby in the Castle.,Macbeth,PERSON,"People, including fictional"
1,7,The same. A Lobby in the Castle.,MACBETH,PERSON,"People, including fictional"
1,7,The same. A Lobby in the Castle.,Duncan,PERSON,"People, including fictional"
1,7,The same. A Lobby in the Castle.,Lady Macbeth.,PERSON,"People, including fictional"
1,7,The same. A Lobby in the Castle.,LADY MACBETH.,PERSON,"People, including fictional"
1,7,The same. A Lobby in the Castle.,the chamber,LOCATION,LOCATION
1,7,The same. A Lobby in the Castle.,MACBETH,PERSON,"People, including fictional"
1,7,The same. A Lobby in the Castle.,LADY MACBETH.,PERSON,"People, including fictional"
1,7,The same. A Lobby in the Castle.,MACBETH,PERSON,"People, including fictional"
1,7,The same. A Lobby in the Castle.,LADY MACBETH.,PERSON,"People, including fictional"
1,7,The same. A Lobby in the Castle.,MACBETH,PERSON,"People, including fictional"
1,7,The same. A Lobby in the Castle.,LADY MACBETH.,PERSON,"People, including fictional"
1,7,The same. A Lobby in the Castle.,MACBETH,PERSON,"People, including fictional"
1,7,The same. A Lobby in the Castle.,LADY MACBETH.,PERSON,"People, including fictional"
1,7,The same. A Lobby in the Castle.,Duncan,PERSON,"People, including fictional"
1,7,The same. A Lobby in the Castle.,Duncan,PERSON,"People, including fictional"
1,7,The same. A Lobby in the Castle.,MACBETH,PERSON,"People, including fictional"
1,7,The same. A Lobby in the Castle.,LADY MACBETH.,PERSON,"People, including fictional"
1,7,The same. A Lobby in the Castle.,MACBETH,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,Banquo,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,Fleance,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,BANQUO,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,boy,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,FLEANCE,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,BANQUO,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,FLEANCE,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,BANQUO,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,Macbeth,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,MACBETH,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,BANQUO,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,MACBETH,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,BANQUO,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,MACBETH,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,BANQUO,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,MACBETH,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,BANQUO,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,MACBETH,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,BANQUO,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,Banquo,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,Fleance,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,MACBETH,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,Hecate,PERSON,"People, including fictional"
2,1,Inverness. Court within the Castle.,Duncan,PERSON,"People, including fictional"
2,2,The same.,Lady Macbeth.,PERSON,"People, including fictional"
2,2,The same.,LADY MACBETH.,PERSON,"People, including fictional"
2,2,The same.,MACBETH,PERSON,"People, including fictional"
2,2,The same.,LADY MACBETH.,PERSON,"People, including fictional"
2,2,The same.,Macbeth,PERSON,"People, including fictional"
2,2,The same.,MACBETH,PERSON,"People, including fictional"
2,2,The same.,LADY MACBETH.,PERSON,"People, including fictional"
2,2,The same.,MACBETH,PERSON,"People, including fictional"
2,2,The same.,LADY MACBETH.,PERSON,"People, including fictional"
2,2,The same.,MACBETH,PERSON,"People, including fictional"
2,2,The same.,LADY MACBETH.,PERSON,"People, including fictional"
2,2,The same.,MACBETH,PERSON,"People, including fictional"
2,2,The same.,LADY MACBETH.,PERSON,"People, including fictional"
2,2,The same.,Donalbain,PERSON,"People, including fictional"
2,2,The same.,MACBETH,PERSON,"People, including fictional"
2,2,The same.,LADY MACBETH.,PERSON,"People, including fictional"
2,2,The same.,MACBETH,PERSON,"People, including fictional"
2,2,The same.,LADY MACBETH.,PERSON,"People, including fictional"
2,2,The same.,MACBETH,PERSON,"People, including fictional"
2,2,The same.,LADY MACBETH.,PERSON,"People, including fictional"
2,2,The same.,MACBETH,PERSON,"People, including fictional"
2,2,The same.,LADY MACBETH.,PERSON,"People, including fictional"
2,2,The same.,MACBETH,PERSON,"People, including fictional"
2,2,The same.,Macbeth,PERSON,"People, including fictional"
2,2,The same.,LADY MACBETH.,PERSON,"People, including fictional"
2,2,The same.,MACBETH,PERSON,"People, including fictional"
2,2,The same.,Macbeth,PERSON,"People, including fictional"
2,2,The same.,LADY MACBETH.,PERSON,"People, including fictional"
2,2,The same.,MACBETH,PERSON,"People, including fictional"
2,2,The same.,LADY MACBETH.,PERSON,"People, including fictional"
2,2,The same.,MACBETH,PERSON,"People, including fictional"
2,2,The same.,Neptune,PERSON,"People, including fictional"
2,2,The same.,Lady Macbeth.,PERSON,"People, including fictional"
2,2,The same.,LADY MACBETH.,PERSON,"People, including fictional"
2,2,The same.,the south,LOCATION,LOCATION
2,2,The same.,our chamber,LOCATION,LOCATION
2,2,The same.,MACBETH,PERSON,"People, including fictional"
2,2,The same.,Duncan,PERSON,"People, including fictional"
2,3,The same.,the gate,LOCATION,LOCATION
2,3,The same.,Macduff,PERSON,"People, including fictional"
2,3,The same.,Lennox,PERSON,"People, including fictional"
2,3,The same.,MACDUFF,PERSON,"People, including fictional"
2,3,The same.,MACDUFF,PERSON,"People, including fictional"
2,3,The same.,an equivocator,LOCATION,LOCATION
2,3,The same.,MACDUFF,PERSON,"People, including fictional"
2,3,The same.,MACDUFF,PERSON,"People, including fictional"
2,3,The same.,Macbeth,PERSON,"People, including fictional"
2,3,The same.,LENNOX,PERSON,"People, including fictional"
2,3,The same.,MACBETH,PERSON,"People, including fictional"
2,3,The same.,MACDUFF,PERSON,"People, including fictional"
2,3,The same.,MACBETH,PERSON,"People, including fictional"
2,3,The same.,MACDUFF,PERSON,"People, including fictional"
2,3,The same.,MACBETH,PERSON,"People, including fictional"
2,3,The same.,MACDUFF,PERSON,"People, including fictional"
2,3,The same.,MACBETH,PERSON,"People, including fictional"
2,3,The same.,MACDUFF,PERSON,"People, including fictional"
2,3,The same.,Macduff,PERSON,"People, including fictional"
2,3,The same.,LENNOX,PERSON,"People, including fictional"
2,3,The same.,MACBETH,PERSON,"People, including fictional"
2,3,The same.,LENNOX,PERSON,"People, including fictional"
2,3,The same.,Lamentings,PERSON,"People, including fictional"
2,3,The same.,MACBETH,PERSON,"People, including fictional"
2,3,The same.,LENNOX,PERSON,"People, including fictional"
2,3,The same.,Macduff,PERSON,"People, including fictional"
2,3,The same.,MACDUFF,PERSON,"People, including fictional"
2,3,The same.,MACBETH,PERSON,"People, including fictional"
2,3,The same.,LENNOX,PERSON,"People, including fictional"
2,3,The same.,MACDUFF,PERSON,"People, including fictional"
2,3,The same.,MACBETH,PERSON,"People, including fictional"
2,3,The same.,LENNOX,PERSON,"People, including fictional"
2,3,The same.,MACDUFF,PERSON,"People, including fictional"
2,3,The same.,the chamber,LOCATION,LOCATION
2,3,The same.,Gorgon,PERSON,"People, including fictional"
2,3,The same.,Macbeth,PERSON,"People, including fictional"
2,3,The same.,Lennox,PERSON,"People, including fictional"
2,3,The same.,Banquo,PERSON,"People, including fictional"
2,3,The same.,Donalbain,PERSON,"People, including fictional"
2,3,The same.,Malcolm,PERSON,"People, including fictional"
2,3,The same.,Malcolm,PERSON,"People, including fictional"
2,3,The same.,Banquo,PERSON,"People, including fictional"
2,3,The same.,Alarum,PERSON,"People, including fictional"
2,3,The same.,Lady Macbeth.,PERSON,"People, including fictional"
2,3,The same.,LADY MACBETH.,PERSON,"People, including fictional"
2,3,The same.,MACDUFF,PERSON,"People, including fictional"
2,3,The same.,Banquo,PERSON,"People, including fictional"
2,3,The same.,Banquo,PERSON,"People, including fictional"
2,3,The same.,Banquo,PERSON,"People, including fictional"
2,3,The same.,LADY MACBETH.,PERSON,"People, including fictional"
2,3,The same.,BANQUO,PERSON,"People, including fictional"
2,3,The same.,Duff,PERSON,"People, including fictional"
2,3,The same.,Macbeth,PERSON,"People, including fictional"
2,3,The same.,Lennox,PERSON,"People, including fictional"
2,3,The same.,Ross,PERSON,"People, including fictional"
2,3,The same.,MACBETH,PERSON,"People, including fictional"
2,3,The same.,Malcolm,PERSON,"People, including fictional"
2,3,The same.,Donalbain,PERSON,"People, including fictional"
2,3,The same.,DONALBAIN,PERSON,"People, including fictional"
2,3,The same.,MACBETH,PERSON,"People, including fictional"
2,3,The same.,MACDUFF,PERSON,"People, including fictional"
2,3,The same.,MALCOLM,PERSON,"People, including fictional"
2,3,The same.,LENNOX,PERSON,"People, including fictional"
2,3,The same.,MACBETH,PERSON,"People, including fictional"
2,3,The same.,MACDUFF,PERSON,"People, including fictional"
2,3,The same.,MACBETH,PERSON,"People, including fictional"
2,3,The same.,Duncan,PERSON,"People, including fictional"
2,3,The same.,LADY MACBETH.,PERSON,"People, including fictional"
2,3,The same.,MACDUFF,PERSON,"People, including fictional"
2,3,The same.,MALCOLM,PERSON,"People, including fictional"
2,3,The same.,DONALBAIN,PERSON,"People, including fictional"
2,3,The same.,an auger,LOCATION,LOCATION
2,3,The same.,MALCOLM,PERSON,"People, including fictional"
2,3,The same.,the foot,LOCATION,LOCATION
2,3,The same.,BANQUO,PERSON,"People, including fictional"
2,3,The same.,Macbeth,PERSON,"People, including fictional"
2,3,The same.,MACDUFF,PERSON,"People, including fictional"
2,3,The same.,MACBETH,PERSON,"People, including fictional"
2,3,The same.,Malcolm,PERSON,"People, including fictional"
2,3,The same.,Donalbain,PERSON,"People, including fictional"
2,3,The same.,MALCOLM,PERSON,"People, including fictional"
2,3,The same.,England,GPE,"Countries, cities, states"
2,3,The same.,DONALBAIN,PERSON,"People, including fictional"
2,3,The same.,the near,LOCATION,LOCATION
2,3,The same.,MALCOLM,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,Ross,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,an Old Man.,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,OLD MAN.,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,OLD MAN.,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,Duncan,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,OLD MAN.,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,Macduff,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,Macduff,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,MACDUFF,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,MACDUFF,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,Macbeth,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,MACDUFF,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,Malcolm,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,Donalbain,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,Macbeth,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,MACDUFF,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,Duncan,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,MACDUFF,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,MACDUFF,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,Fife,GPE,"Countries, cities, states"
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,MACDUFF,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional"
2,4,The same. Without the Castle.,OLD MAN.,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,Banquo,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,BANQUO,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,"King, Cawdor",TITLE,TITLE
3,1,Forres. A Room in the Palace.,Macbeth,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,Sennet,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,Macbeth,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,Macbeth,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,Lennox,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,Ross,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,Lords,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,MACBETH,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,LADY MACBETH.,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,MACBETH,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,BANQUO,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,MACBETH,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,BANQUO,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,MACBETH,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,BANQUO,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,MACBETH,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,BANQUO,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,MACBETH,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,England,GPE,"Countries, cities, states"
3,1,Forres. A Room in the Palace.,Fleance,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,BANQUO,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,MACBETH,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,Banquo,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,Macbeth,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,Lords,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,Sirrah,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,the palace,LOCATION,LOCATION
3,1,Forres. A Room in the Palace.,MACBETH,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,Banquo,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,Banquo,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,Duncan,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,Banquo,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,the door,LOCATION,LOCATION
3,1,Forres. A Room in the Palace.,MACBETH,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,Banquo,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,MACBETH,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,MACBETH,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,Shoughs,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,MACBETH,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,Banquo,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,MACBETH,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,MACBETH,PERSON,"People, including fictional"
3,1,Forres. A Room in the Palace.,the palace,LOCATION,LOCATION
