entity,label,count
Young Romeo,PERSON,1
the two hours,TIME,1
the summer,DATE,1
yew Sliver’d,PERSON,1
a dark hour,TIME,1
a merry hour,TIME,1
a happy hour,TIME,1
yon grey,PERSON,1
the roughest day,DATE,1
Thing,ORG,1
a hundred thousand,CARDINAL,1
a meet hour,TIME,1
the prefixed hour,TIME,1
wind.—I,ORG,1
Wanton,GPE,1
this wedding day,DATE,1
Troop,ORG,1
Torch,ORG,1
Trip,ORG,1
Troilus,WORK_OF_ART,1
Trojan,ORG,1
two and forty hours,TIME,1
upon’t,CARDINAL,1
utterance!—Who,PERSON,1
twenty years,DATE,1
Took,ORG,1
Trust,ORG,1
twenty hundred thousand,CARDINAL,1
Turk,NORP,1
twelve year old,DATE,1
Turns,ORG,1
troths,ORG,1
Thracian,NORP,1
unstain’d,ORG,1
two nights,TIME,1
thy knaveries,PERSON,1
Titan,ORG,1
Thy crown,PERSON,1
unrough,NORP,1
Tiberio,GPE,1
Tide,WORK_OF_ART,1
Till Birnam,GPE,1
Till Birnam,PERSON,1
unhallow’d,PERSON,1
unfirm,GPE,1
Tomorrow night,TIME,1
undivulg’d,ORG,1
Toad,PERSON,1
Today,DATE,1
uncover’d,NORP,1
two years ago,DATE,1
Tom Snout,PERSON,1
Threescore,PERSON,1
thy master,PERSON,1
Tybalt,PRODUCT,1
Thy Juliet,PERSON,1
thou holily,PERSON,1
three long hours,TIME,1
three hours,TIME,1
thousands,CARDINAL,1
Venice,GPE,1
Venus,ORG,1
thou singest,PERSON,1
thou likest,PERSON,1
thou dissembler,PERSON,1
Valentio,ORG,1
whipt,NORP,1
Vulcan,PRODUCT,1
Wake Duncan,PERSON,1
thou deservest,PERSON,1
thou consortest,PERSON,1
thou beliest thyself,PERSON,1
Thisne!’—‘Ah,DATE,1
Valour,ORG,1
a thousand years,DATE,1
"Tybalt, Juliet pin’d",ORG,1
Ursala Walk,PERSON,1
Uncle,PERSON,1
villainies,GPE,1
Unmannerly,PERSON,1
thy kinsman,PERSON,1
Unreal,ORG,1
Unseemly,PERSON,1
Unwieldy,GPE,1
thy grey light,PERSON,1
three mile,QUANTITY,1
Thou’rt,GPE,1
Utruvio,PERSON,1
thy canopy,PERSON,1
three-hours,TIME,1
three-foot,QUANTITY,1
Valentine,PERSON,1
Thou,PERSON,1
the days,DATE,1
limbeck,PERSON,1
the Western Isles,LOC,1
"night,—I",ORG,1
nosegays,ORG,1
fie!,PERSON,1
fiery oes,PERSON,1
noontide,TIME,1
noon,TIME,1
nole,PRODUCT,1
finish’d,ORG,1
nightgown,TIME,1
forc’d,PERSON,1
eyes.—Now o’er,DATE,1
forth day,DATE,1
forty ducats,MONEY,1
forty minutes,TIME,1
next morning,TIME,1
four happy days,DATE,1
fourteen,CARDINAL,1
neeze,ORG,1
fourteen years,DATE,1
now?—well,PERSON,1
every morning,TIME,1
garland,PERSON,1
eight and six,DATE,1
early next Thursday,DATE,1
roof’d,PERSON,1
early tomorrow,TIME,1
roar’d,PERSON,1
eight and eight,DATE,1
rebuk’d,PERSON,1
quondam,GPE,1
pilgrim,ORG,1
eighth,ORDINAL,1
every month,DATE,1
empoison,PERSON,1
enough.—Come,CARDINAL,1
overbold,PERSON,1
our morning,TIME,1
one day,DATE,1
off’rings,ORG,1
odd days,DATE,1
number’d,ORG,1
from day to day,DATE,1
garlick,PERSON,1
early in the morning,TIME,1
hundred,CARDINAL,1
marchpane,PERSON,1
mar. NURSE,DATE,1
hill,PERSON,1
hourly,TIME,1
mar,PERSON,1
hours,TIME,1
howlet,PERSON,1
"man,—as",NORP,1
inclin’d,ORG,1
"herbs,—grace",ORG,1
in’t,GPE,1
lov’d Benedick,PERSON,1
loggerhead.—Good,ORG,1
kerns,ORG,1
loathèd,PERSON,1
live.—O,ORG,1
leavy,ORG,1
legg’d,ORG,1
marr’d,NORP,1
martyr’d,PERSON,1
gash’d,PERSON,1
mov’d,PERSON,1
gauds,ORG,1
gleek,NORP,1
god Bel,PERSON,1
goodman,PERSON,1
nam’d,PERSON,1
The tedious minutes,TIME,1
hadst suck’d wisdom,PERSON,1
my fay,PERSON,1
half a dozen,CARDINAL,1
her grandam,PERSON,1
morrow deep midnight,TIME,1
morn,TIME,1
monthly,DATE,1
mo days,DATE,1
mir’d,NORP,1
med’cines,PERSON,1
masterdom,GPE,1
hawk’d,PRODUCT,1
rooky,PERSON,1
dun,PERSON,1
a torturing hour,TIME,1
sword.—Who,PERSON,1
baes,PERSON,1
ten thousand,DATE,1
bak’d,CARDINAL,1
bane,GPE,1
barky,PERSON,1
beachèd,GPE,1
ten mile afoot,QUANTITY,1
beguil’d,GPE,1
beldams,PERSON,1
awak’d him,PERSON,1
benedictus,PERSON,1
benison,PERSON,1
berhyme,PERSON,1
suppos’d,DATE,1
summer first,DATE,1
between fourteen,CARDINAL,1
suborn’d,ORG,1
bloody Tybalt,PERSON,1
ay husband,PERSON,1
that hour last night,TIME,1
bow’d,ORG,1
the Great Cham’s,EVENT,1
the Watch.,ORG,1
the Prince wooss,GPE,1
a year,DATE,1
the Lady Beatrice,PERSON,1
again.—Pull’t,PERSON,1
all days,DATE,1
almost five o’clock,TIME,1
almost morning,TIME,1
amazèd,PERSON,1
that night,TIME,1
light!—For,PERSON,1
an R. NURSE,ORG,1
the Fairy Queen,FAC,1
an artificial night,TIME,1
the County’s,GPE,1
that spring,DATE,1
an hour ago,TIME,1
angry winter,DATE,1
bosoms interchainèd,PERSON,1
some minute,TIME,1
doth mark,PERSON,1
die maiden-widowed,PERSON,1
sev’n,GPE,1
crazèd,GPE,1
curtsies,ORG,1
seven-night,TIME,1
dale,GPE,1
day,DATE,1
seven at night,TIME,1
despatch.—If,ORG,1
seven,CARDINAL,1
course.—What,ORG,1
senna,PERSON,1
saluteth,PERSON,1
rushy brook,PERSON,1
discovery Err,PERSON,1
rul’d,PERSON,1
diseas’d,PERSON,1
dost deserve,PERSON,1
doth,PERSON,1
crannied,ORG,1
cool’d,GPE,1
some hours,TIME,1
chanc’d,PERSON,1
brainsickly,PERSON,1
some hour,TIME,1
brush’d,PERSON,1
some half a dozen,CARDINAL,1
so:—but,ORG,1
cankerblossom,PERSON,1
captivity.—Hail,GPE,1
smok’d,GPE,1
sluttish,NORP,1
"contrary,—to",ORG,1
skilless,NORP,1
chaudron,ORG,1
cherubin,PERSON,1
silenc’d,PERSON,1
shrewishness,GPE,1
chuck,PERSON,1
"shortened,—for",NORP,1
conn’d,ORG,1
ambuscados,GPE,1
A fortnight,DATE,1
The sixth of July,DATE,1
Exit Helena,ORG,1
Exeunt Fairies,WORK_OF_ART,1
Exeunt Macbeth and,WORK_OF_ART,1
Exeunt Montague,ORG,1
Exeunt Murderers,WORK_OF_ART,1
Exeunt Tybalt,WORK_OF_ART,1
Exit Antonio,GPE,1
Exit Balthasar,PERSON,1
Exit Boy,PERSON,1
Exit Captain,PERSON,1
Exit Friar Lawrence,PERSON,1
Exit Hecate,ORG,1
Exit Helena,PERSON,1
Duke,ORG,1
Exit Hermia,PERSON,1
Exit Lady Macduff,PERSON,1
Exit Macduff,PERSON,1
Exit Margaret,PERSON,1
Exit Messenger,PERSON,1
Exit Moonshine,PERSON,1
Exit Murderer,ORG,1
Exit Nurse,ORG,1
Exit Oberon,PERSON,1
Exit Page,ORG,1
Exit Peter,PERSON,1
Ethiop,PERSON,1
Environed,ORG,1
Enter Watch with the Page of Paris,WORK_OF_ART,1
Enter Titania,ORG,1
Dunsinane,ORG,1
Durst,PERSON,1
Dutchman,NORP,1
Each minute,TIME,1
Earth,LOC,1
Easter,EVENT,1
Echo,LOC,1
Edward,PERSON,1
Egypt,GPE,1
Else the Puck,WORK_OF_ART,1
English,NORP,1
Enrings,ORG,1
Enter Bottom,PERSON,1
Enter Chorus,ORG,1
Enter Citizens,ORG,1
Enter Demetrius,PERSON,1
Enter Dogberry,WORK_OF_ART,1
Enter Lion,ORG,1
Enter Macbeth and Banquo,WORK_OF_ART,1
Enter Oberon,PERSON,1
Enter Puck,PERSON,1
Enter Ross,PERSON,1
Enter Snug,ORG,1
Exit Romeo,ORG,1
Exit Romeo,PERSON,1
Exit Snout,PERSON,1
Friar Lawrence’,PERSON,1
Gall,PERSON,1
Gallop,PERSON,1
George Seacoal,PERSON,1
German,NORP,1
Goblin,PERSON,1
God,PERSON,1
Golden,PERSON,1
Good Hermia,PERSON,1
Good Margaret,PERSON,1
Good Mercutio,PERSON,1
Good Romeo,PERSON,1
Good Ursula,PERSON,1
Goodman Verges,PERSON,1
Gorgon,ORG,1
Gorg’d,ORG,1
Graves,PERSON,1
Graymalkin,PERSON,1
Graze,PERSON,1
Great Birnam,ORG,1
Groan,PERSON,1
H. MARGARET,PERSON,1
Hadst,PERSON,1
Half,CARDINAL,1
Friar Lawrence’ cell,WORK_OF_ART,1
Friar Lawrence?,PERSON,1
Exit Titania,ORG,1
Frenchman,NORP,1
Fain,PERSON,1
Fair Beatrice,PERSON,1
Fairies,ORG,1
Fairy Queen,WORK_OF_ART,1
Fall,DATE,1
Falls,PERSON,1
Fann’d,ORG,1
Fashion’d,ORG,1
February,DATE,1
Fife,GPE,1
Fife,NORP,1
Fife.—Dismiss,NORP,1
Five,CARDINAL,1
Five shillings,MONEY,1
Florentine,PERSON,1
Flower,PERSON,1
Flute,WORK_OF_ART,1
Forsook,PERSON,1
Forswear,PERSON,1
Four days,DATE,1
Four nights,TIME,1
Francis Flute,PERSON,1
Francis Seacoal,PERSON,1
Duke,PERSON,1
Duff,PERSON,1
Hast,ORG,1
Benedicite,PERSON,1
Aurora,PRODUCT,1
BENEDICK,ORG,1
BOTH MURDERERS,ORG,1
Banish’d,PERSON,1
Banquo Stick,FAC,1
Bear,ORG,1
Bearing a Tartar,PRODUCT,1
Beatrice Proposing,PERSON,1
Beguil’d,GPE,1
Bellona,PERSON,1
Belzebub,ORG,1
Benedictus,PERSON,1
Duchess,PERSON,1
Betroth’d,GPE,1
Beware,ORG,1
Beware Macduff,PERSON,1
Black Spirits,WORK_OF_ART,1
Blessing,PERSON,1
Blister’d,NORP,1
Bottom’s Dream’,WORK_OF_ART,1
Brags,PERSON,1
Brandish’d,PERSON,1
Bull Jove,PERSON,1
Buttress,ORG,1
Aurora,ORG,1
Augurs,PERSON,1
Asia,LOC,1
Ascend,ORG,1
A million,CARDINAL,1
A thousand,CARDINAL,1
Acheron,ORG,1
Acheron Meet,ORG,1
Aegles,PERSON,1
Alack,GPE,1
Alarum,PERSON,1
Alarum-bell,PERSON,1
Aleppo,NORP,1
Alla stoccata,PERSON,1
Almost a mile,QUANTITY,1
Alone,ORG,1
Always,ORG,1
Amazon,ORG,1
An hour,TIME,1
Angelica,PERSON,1
Antipodes,PERSON,1
Antony,PERSON,1
Apollo,ORG,1
Arabia,GPE,1
Ariadne,PERSON,1
Army,ORG,1
Aroint,ORG,1
Cadmus,PRODUCT,1
Caesar,PERSON,1
Call’d,GPE,1
Crystal,LOC,1
Curs’d,PRODUCT,1
Cynthia,PERSON,1
Dance in Duke,WORK_OF_ART,1
Daphne,PERSON,1
Daughter,PERSON,1
Days,DATE,1
Demetrius look’d,PERSON,1
Despis’d,ORG,1
Devil,PERSON,1
Devilish Macbeth,PERSON,1
Diana,PERSON,1
Dido,PERSON,1
Digressing,PERSON,1
Direness,PERSON,1
Disdaining Fortune,PERSON,1
Disguising,PERSON,1
Dismay’d,PERSON,1
Disparage,PERSON,1
Distinguishes,PERSON,1
Don John a,PERSON,1
Don Pedro Stalk,PERSON,1
Don Worm,PERSON,1
Duchess,LAW,1
Cumberland,LOC,1
Crook,PERSON,1
Capel,PERSON,1
Creeps,PERSON,1
Capels,PRODUCT,1
Carduus,PRODUCT,1
Carthage,LOC,1
Cavalery Cobweb,PERSON,1
Centaurs,ORG,1
Charm,ORG,1
Chid,PERSON,1
Christendom,ORG,1
Citizens,ORG,1
"Claudio,—whose",GPE,1
Cleopatra,PERSON,1
Cobweb,GPE,1
Colmekill,ORG,1
Come Lammas Eve,PERSON,1
Compell’d,GPE,1
Confirm’d,GPE,1
Consort,PERSON,1
Consume,ORG,1
Corin,PERSON,1
Count Comfect,ORG,1
County,GPE,1
County Anselmo,ORG,1
Coward,PERSON,1
Happiness,ORG,1
Helena,GPE,1
The County Paris,GPE,1
Reigns,ORG,1
Presenteth Moonshine,PERSON,1
Prester,GPE,1
Prick,PERSON,1
A merrier hour,TIME,1
Profaners,ORG,1
Proportion’d,PERSON,1
Quail,GPE,1
Quarrels,ORG,1
Queen Mab,PERSON,1
Raze,ORG,1
Reason,PERSON,1
Remnants,ORG,1
"O Tybalt, Tybalt",ORG,1
Repentance,ORG,1
Retorts,PERSON,1
Robin Goodfellow,PERSON,1
Roman,NORP,1
Romeo,EVENT,1
Romeo Leap,ORG,1
Root of hemlock digg’d i’ th,ORG,1
Russian,NORP,1
SNOUT,ORG,1
SON,ORG,1
Saint Colme’s,GPE,1
Praising,PERSON,1
Poison,ORG,1
Point,ORG,1
Please’t,PERSON,1
Old Siward,PERSON,1
One foot,QUANTITY,1
Ourself,ORG,1
Padua,GPE,1
Painted,ORG,1
Pale Hecate,ORG,1
Pard,ORG,1
Partizans,NORP,1
Pat,PERSON,1
Peascod,PERSON,1
Pertains,PERSON,1
Petrarch,PERSON,1
Petruchio,PERSON,1
Phaeton,ORG,1
Pharaoh,GPE,1
Phibbus,ORG,1
Philemon,PERSON,1
Phillida,GPE,1
Phoebe,PERSON,1
Phoebus,GPE,1
Phoebus,ORG,1
Pierc’d,PRODUCT,1
Play’d,ORG,1
Saint Francis,PERSON,1
Saint Peter,PERSON,1
Saint Peter’s Church,FAC,1
Some twenty,CARDINAL,1
Spaniard,NORP,1
Spanish,NORP,1
Squeezes,ORG,1
Stands Macbeth,ORG,1
Steep’d,PERSON,1
Stepp’d,PERSON,1
Strong,PERSON,1
Sundays,DATE,1
Susan Grindstone,PERSON,1
Sweet Beatrice,PERSON,1
Sweet Moon,PERSON,1
Sweet bodements,PERSON,1
Sweno,PERSON,1
Swift,PERSON,1
Swits,PERSON,1
Tarquin,PERSON,1
Tartar,PERSON,1
Taurus,LOC,1
Ten thousand dollars,MONEY,1
That after-hours,TIME,1
That every minute,TIME,1
That of an hour’s,TIME,1
The County,GPE,1
Spakest,ORG,1
Some five and twenty years,DATE,1
Saint Valentine,PERSON,1
Snout,PERSON,1
Sampson,PERSON,1
Saturn,PRODUCT,1
Saucy,PRODUCT,1
Savagely,PERSON,1
Scone,PERSON,1
Scornful Lysander,PERSON,1
Scotch,NORP,1
Scotland.—O,ORG,1
Seacoal,GPE,1
Sees Helen,PERSON,1
Sennet,PERSON,1
Sewer,ORG,1
Shakes,PERSON,1
Shall Romeo,PERSON,1
Sharp,ORG,1
Shine,PERSON,1
Shot,PERSON,1
Shoughs,GPE,1
Signior Placentio,ORG,1
Simon Catling,PERSON,1
Sinel,PERSON,1
"Siward,",ORG,1
"Siward, Ross, Thanes and Soldiers",ORG,1
Oberon,GPE,1
Nurse!—Sweet Montague,PERSON,1
Helena,PERSON,1
LAWRENCE,PERSON,1
Jacks,PERSON,1
James Soundpost,PERSON,1
January,DATE,1
Jesu Maria,PERSON,1
Jew,NORP,1
Jew,PERSON,1
Jill,PERSON,1
King,PERSON,1
Knacks,GPE,1
Knight,PERSON,1
LADY MACBETH,PERSON,1
LORD,PERSON,1
Notes,ORG,1
Lady Disdain,PERSON,1
Lady Fame,PERSON,1
Lady Juliet,PERSON,1
"Lady Macbeth,",PERSON,1
Lamentings,PERSON,1
Lammas,PERSON,1
Lammas Eve,PERSON,1
Laura,PERSON,1
Lays,PERSON,1
Leander,PERSON,1
Lent,EVENT,1
Jacks,GPE,1
Inverness,GPE,1
Industrious,ORG,1
India,GPE,1
Hercules,GPE,1
Hero hildings,PERSON,1
Hie,PERSON,1
Hiems,NORP,1
"Hippolyta, Knowing",ORG,1
Hobgoblin,PERSON,1
Hood,PERSON,1
Horns,PERSON,1
Hours,TIME,1
Hugh Oatcake,PERSON,1
Hugh Rebeck,PERSON,1
Humh,PERSON,1
Hyrcan,NORP,1
I. DOGBERRY,ORG,1
I. Enter Romeo,ORG,1
I. LEONATO,PERSON,1
I. MOTH,PERSON,1
I. MUSTARDSEED,PERSON,1
I. NURSE,ORG,1
I. Our,ORG,1
I. ROMEO,PERSON,1
I. Well,PERSON,1
Ill,ORG,1
Limander,ORG,1
Lion and Moonshine,ORG,1
Lion. DEMETRIUS,ORG,1
Menteith,GPE,1
Messenger,PERSON,1
Met,ORG,1
Milan,GPE,1
Miscarried,ORG,1
Misprising,PERSON,1
Monday night,TIME,1
Monsieur Cobweb,PERSON,1
Montague,ORG,1
Moonshine,NORP,1
Moonshine,PERSON,1
Moonshine and Lion,ORG,1
Mountanto,PERSON,1
Myself,PERSON,1
Nedar,ORG,1
Nedar,PERSON,1
Nell,PERSON,1
Neptune,ORG,1
Newts,PERSON,1
Niece,PERSON,1
Nimbly,PERSON,1
Ninus,PERSON,1
Northumberland,GPE,1
Norways,GPE,1
"Menteith,",ORG,1
Meg,PERSON,1
Livia,PERSON,1
Meg,ORG,1
Lizard,ORG,1
Long,PERSON,1
Lord,PERSON,1
Lordship,ORG,1
Loyal,ORG,1
Lucio,PERSON,1
Lulla,PERSON,1
"Lysander, Demetrius",PERSON,1
MENTEITH,ORG,1
MOTH,GPE,1
MURDERER,ORG,1
Macbeth,GPE,1
Macbeth and Banquo,WORK_OF_ART,1
Macbeth and Banquo?,WORK_OF_ART,1
Madman,PERSON,1
Maintain’d,PERSON,1
March,DATE,1
Margaret Hero,PERSON,1
Mark Antony,PERSON,1
Martino,PERSON,1
Maskers,PRODUCT,1
Master Constable.,PERSON,1
May,PERSON,1
’tis day,DATE,1
